#汉字	近音同调	近音异调
一		
乙		
丁	祯增厅诊贞真针桢斟缯臻珍听砧憎榛侦甄汀曾箴	诊缜怎挺赠赈疹震霆梃振亭廷阵婷蜓枕鸩朕艇听娠镇停庭
去	炬苣飓惧具巨踞瞿钜倨剧遽屦距俱聚据句锯足拒	莒咀举桔疽橘蛆跼车驹俱拘狙侷掬菊局锯沮鞠居龃矩
可	铬各个葛箇	哥咯蛤箇镉隔膈阁合葛鸽郃歌格各戈骼疙个铬搁割胳革鬲
古	苦楛	骷窟库裤酷枯哭
右	乐要钥耀药拗曜鹞	要淆哟夭崤咬谣杳瑶侥窈尧摇邀洮吆舀榣腰肴姚幺遥肴窑妖爻
召	皂鄹胄遭周寿骤受绶绉造嗽粥宙售灶周燥狩噪邹糟奏兽冑瘦陬纣揍授舟昼譟咒扫啁籀皱躁洲州	皂鄹澡轴守妯周绉造枣飕嗾粥宙搜灶馊肘凿搔周燥噪藻邹骚收手冑纣陬揍舟走首薮啁皱州洲叟胄帚遭骤蚤蒐缫嫂熟奏糟艘昼譟咒早扫擞籀躁
叮	听厅汀	廷霆婷听蜓挺梃停亭艇庭
叩	购雊构告够媾搆铐靠垢诰遘诟犒	缟糕槁皋高枸考烤杲稿钩沟勾搞搅篙睪羔狗句拷膏苟
叨	滔涛絛偷掏韬都饕兜	斗涛萄蚪焘桃豆头梼淘窦洮陡枓透读斗脰痘逃啕讨陶套抖投逗
叼	挑丢	頫眺挑条佻调迢蜩覜窕跳
司	狮师湿虱诗尸失尸虱施湿嘘	拭豕恃轼是匙氏拾使视豉仕噬蚀誓筮室提嗜什逝屎舐式适柿饰奭士硕螫十弑市示试始埘石食实时势侍世史识矢射事驶释
叵		
叫	溴袖鞘救跷酵就效厩笑肖壳窍孝岫柩峭究啸旧俏秀臼撬舅咎锈诮疚校宿傚嗅臭绣翘	毬嚣朽啾巧雀跷修哮消邱揪鹊箫鸠灸囚羞九秋逍撬球筿硝销橇脩仇瞧韭赳宿萧久宵桥蚯枭樵憔悄裘削纠玖龟霄骁愀泅求乔嘐咻梂丘敲酒晓谯小酋锹侨潇秋休鳅学翘
另	吝佞躏蔺泞赁	柠咛霖痳麟鳞您狞凝林凛邻燐淋宁磷拧懔辚遴临琳璘
只	仔訾紫滓籽淄锱缁赀梓咨兹子姿孳孜资辎滋谘龇玆髭吱	訾紫籽淄渍锱梓咨兹字子姿孜资谘龇玆吱仔恣滓缁赀孳辎滋髭自
史	死	赐泗肆厮鸶饲巳伺嗣撕似耜丝思四祀司兕私食寺斯驷俟姒嘶
叱	赐伺次厕刺	辞疵此祠雌茨瓷词慈磁差
台		迨黛大贷怠逮岱待玳带呆殆代戴袋歹
句	叙絮高皋蓄篙羔勗膏续序去恤畜娶洫糕酗婿趣卹漆顼绪睪旭	缟扣槁考烤璩许搞诰须煦渠拷嘘墟告娶劬铐瞿蛆靠屈须龋佝訏搅蛐躯虚取寇杲釦徐圈砠曲区需犒驱咻岖趋胥曲吁戌稿叩衢栩口
叭		
叻		呢
四	拭恃式轼适是饰柿奭氏士使视螫弑市示试豉仕噬誓筮室势侍世嗜识逝事释舐	豕尸匙湿狮虱使拾诗硕失十虱嘘始埘石蚀实食施时提史师湿尸矢什屎射驶
囚	谯樵瞧憔侨乔桥翘嚼	啾巧雀跷皎娇厩揪鹊鸠灸窍醮蕉峭九究旧浇饺俏撬舅跤轿狡诮鲛疚橇胶搅韭赳蛟久觉教鞘救悄姣骄窖玖纠就侥焦詨角愀壳交椒柩礁较臼勦敲咎酒郊脚缴铰锹校绞叫矫剿翘
外		
央	湮阴姻因慇茵氤音殷	夤瘾听胤银印鄞饮龈尹淫檐寅垠吟縯荫隐霪引蚓
失	撕司厮丝斯鸶私思嘶	赐祀泗肆兕食饲巳嗣伺耜似寺驷姒俟思死四
奴	芦炉卢榈闾驴庐胪鑪鲈泸颅	铝卤绿掳律麓戮膂女噜娄旅侣鹭滤屡录穋禄履率赂路露鲁卤吕橹鹿缕僇褛碌氯陆虑忸虏
奶		徕睐癞籁来赖莱濑
孕	望紊旺甕妄抆佣汶文闻王问用免忘	拥往踊佣雍翁魍玟蓊涌勇刎嗡文亡惘闻蛹甬王臃瘟网吻罔温咏涌尢塭鄘泳雯永慵纹蚊庸汪邕俑枉辋稳壅恿
它	瘩答搭褡跶	瘩答大打达鞑靼怛
尼	喱璃厘离丽犁犛骊狸篱狸梨黎罹漓蠡蜊	俪澧醴哩历雳力栗立溧娌琍粒理利厉逦俐蛎蠡俚莉鬲栗礼丽鲤砾砺唳痢莅疠坜戾历吏笠浬例钋荔欐李锂里隶郦里励沥
巨	叙去恤畜娶洫絮蓄酗婿趣卹漆绪顼勗续旭序	取璩许徐圈须砠煦曲区需渠驱咻嘘趋岖墟胥娶劬曲瞿吁戌蛆屈须龋訏蛐躯虚衢栩
巧	九较饺勦姣酒皎狡脚缴侥玖纠铰搅角韭赳绞灸矫剿久	毬啾娇厩邱揪鸠醮囚蕉究秋旧浇舅跤球轿疚鲛胶仇蛟觉蚯教救姣裘骄窖纠就焦詨龟泅交椒求梂柩丘礁较臼咎郊酋校叫秋鳅嚼
左		棹擢浊卓濯琢镯着酌拙涿灼斫捉桌茁啄
市	赐祀泗肆兕食饲巳伺嗣似耜寺驷姒俟四	撕司厮丝斯鸶私思嘶死
布		
平	频濒嫔贫颦	拼品姘聘牝
幼	乐要钥耀药拗曜鹞	要淆哟夭崤咬谣杳瑶侥窈尧摇邀洮吆舀榣腰肴姚幺遥肴窑妖爻
弁		
弘	馄珲混浑魂	荤辊混昏浑婚
弗	壶胡蝴鹄胡湖囫葫弧斛瑚糊狐	瓠互琥虎扈许惚唬乎戏呼户忽沪楛沍护
必		
戊	裕瘉滪御域吁妪驭喻狱玉欲誉禺熨峪昱燠愈寓愈谕御谷郁预语遇与煜欲芋育聿尉俞堉郁豫浴毓	妤娱瘀宇逾褕竽蝓雨雩渝觎迂渔于语纡与噢龉余余俞欤羽虞盂隅榆敔愚鱼圉禺禹屿舆愉圄淤腴臾谀庾圩瑜予萸于
打	塔	他牠漯它獭遢遝榻她踏蹋塌跶挞
扔	荏稔忍	刃衽妊纫稔人仞儿忍轫任仁荏韧壬认饪赁
扒		
扑		
斥	赐伺次厕刺	辞疵此祠雌茨瓷词慈磁差
旦	炭探叹碳叹	毯覃昙袒痰潭坛弹谭贪坍谈探滩摊檀坦瘫坛
朮	卒足族嗾	诅租祖俎组阻
本	榜膀绑	蚌傍邦崩棒旁迸甭蹦帮谤梆镑绷磅
未		
末		
札	杂咱偺砸	扎匝
正	诊贞真赠斟缯赈震珍砧憎榛侦曾振阵祯增鸩枕桢针朕臻娠甄镇箴	诊贞缜真怎赠斟缯赈疹震珍砧憎侦榛曾振阵祯增鸩枕针桢朕臻娠甄镇箴
母		
民	瞑名螟酩明茗冥鸣铭暝	命暝
氐	剔梯踢体	悌屉啼体剃隄提嚏剔题涕梯堤踢蹄缇替锑逖惕
永	允吻蓊陨稳刎	员翁玟耘嗡文闻孕瘟熨温愠芸塭云韵雯运纹筠紊蚊甕昀晕酝抆蕴氲汶纭匀问云免
汁	淄锱缁赀咨兹姿孳孜资辎滋谘龇玆髭吱	仔訾字恣紫滓籽渍子孳梓自
汀	叮酊仃丁盯钉	定酊鼎顶锭订钉
氾	憾悍旱颌汉汗颔銲翰撼捍瀚焊	含函和韩榦汗涵蚶罕鼾喊寒酣
犯	憾悍旱颌汉汗颔銲翰撼捍瀚焊	含函和韩榦汗涵蚶罕鼾喊寒酣
玄		倦卷隽捐捲镌眷娟圈绢身涓鹃狷
玉	戊晤恶寤骛物勿悟坞雾兀误务钨軏垩	武污鹉巫侮吾亡诬无吴午五乌毋伍恶呜鼯妩于唔怃屋舞圬钨捂污梧芜蜈
瓜	夸夸	跨胯垮
瓦		
甘	戡看勘刊堪	侃坎看槛瞰勘砍崁
生	砷信申僧莘伸呻娠深身森参绅	哂审甚渗沈肾蜃沁婶脤神慎沈
用	韵员运紊甕晕酝抆蕴汶文孕闻问熨愠免	翁玟蓊刎耘嗡文闻瘟吻陨温芸塭云雯纹蚊筠昀晕氲纭允匀云稳
甩		
田		奠甸店颠点碘典靛玷佃惦滇电钿淀殿垫巅癫
由	洮淆崤谣榣瑶侥肴姚遥肴窑尧摇爻	邀要哟耀夭咬吆鹞杳舀腰乐窈幺钥药妖拗曜
甲	卡	狎暇侠辖吓霞夏斜柙挟峡恰匣洽下狭虾黠遐厦呷瞎瑕
申	桑生僧昇殇觞升胜汤牲森伤笙甥声商升丧	嗓晌赏渑乘裳賸尚剩胜上绳省圣盛丧
疋		
白		
皮		
皿		瞑名螟酩明命茗冥鸣铭暝
目		
矛	眸缪牟谋	某
矢	死	赐泗肆厮鸶饲巳伺嗣撕似耜丝思四祀司兕私食寺斯驷俟姒嘶
石	炭探叹碳叹	赐覃毯袒潭痰泗坛肆弹厮鸶饲坍巳撕嗣伺耜似丝探思死四昙祀司兕私食贪谭谈寺驷斯俟姒摊滩坦檀嘶瘫坛
示	赐祀泗肆兕食饲巳伺嗣似耜寺驷姒俟四	撕司厮丝斯鸶私思嘶死
禾		
穴	獗蹶劂角孓诀掘鴃抉鳜决谲脚倔玨崛爵攫觼觉蕨绝厥噱嚼	獗蹶劂角孓诀掘鴃鳜抉决谲嗟脚倔玨崛爵攫觼觉蕨绝厥噱嚼
立	昵泥睨腻溺匿逆	妮尼泥霓呢你拟倪怩你旎
丞	谌岑晨尘涔宸陈娠忱臣曾辰沉层沈	谶榇称衬疢琛趁瞋参
丢	挑刁凋叼雕碉鲷貂雕	挑眺条吊调迢窕頫掉佻钓蜩吊覜跳
乒	拼姘	频品濒聘嫔牝贫颦
乓	喷	盆
乩	携曦淅熹悉烯禧嬉犀萋膝行蜥凄稀希妻吸欺溪畦晰兮析熙柒厘栖譆谿漆牺慼蟋唏羲嘻悽晞西奚戚蹊七僖	歧琪齐蓆琦耆棋骑妻惜玺祺洗岂绮细碛弃祁乞系启祇期器媳祈讫枝迄息起夕锡锜歙褶昔气其淇旗愒系汐麒翕戏隙习脐徙畦鳍崎鳃圻杞汽奇岐衹矽企喜稽亟潟泣契系憩席熄砌缉袭檄
亘	更亢伉艮炕杠抗	垦吭艮铿粳梗庚坑糠更跟埂纲冈港釭肛耕恳哽杠刚康慷龈阬根肯缸耿啃岗羹扛赓钢
交	蚯枭嚣啾跷修哮消削纠邱龟霄骁揪箫鸠嘐咻羞丘秋逍敲撬硝销橇脩锹潇萧秋休鳅宵	毬溴朽袖巧雀跷厩鹊肖灸窍囚峭九究旧俏秀撬舅球筿诮疚仇瞧韭赳宿傚嗅久桥樵鞘憔救酵悄裘纠玖就效笑愀泅壳求乔孝岫梂柩啸臼咎锈酒晓谯小酋校侨臭绣学翘
亦		
亥		
仿	很狠粉	吭棻痕航氛吩分汾恨份芬坟粪焚奋行沆杭桁纷忿愤
伉	艮亘杠	垦艮龈肯根跟缸纲冈港啃岗釭肛扛恳杠钢刚
伙		
伊		
伕	惚乎戏呼忽	瓠壶胡蝴鹄琥许斛唬户沪沍楛护狐互胡湖囫葫扈虎弧瑚糊
伍	雨语与龉宇庾敔噢圉禹予屿羽圄	瘉滪域妤娱瘀驭狱逾峪昱燠褕蝓竽雩渝觎预渔迂语于与纡煜欲芋育余余俞欤堉郁豫毓虞裕盂御隅吁妪榆喻愚鱼玉欲誉禺熨舆愈寓愈愉谕御谷郁淤腴臾遇谀圩聿尉瑜予萸浴于
伐	哈蛤	哈蛤
休	教枭嚣啾姣哮骄消削纠娇焦詨霄骁揪箫交椒鸠嘐蕉礁逍浇跤郊鲛硝销胶蛟潇萧宵	皎厩肖灸醮九究旧饺舅轿狡筿疚搅韭赳傚久觉教救酵姣窖纠玖就侥效笑角孝柩啸较臼勦咎酒脚晓缴小铰校绞叫剿矫学嚼
伏	壶胡蝴鹄胡湖囫葫弧斛瑚糊狐	瓠互琥虎扈许惚唬乎戏呼户忽沪楛沍护
仲	粽纵综圳从俊	傯准总肫纵鬃樽棕屯谆踪尊综遵宗准撙
件	现欠僩霰岘腺馅羡堑縴宪献歉倩限蚬苋陷县线	干签纤涎黔铣舷衔暹啣千钤秈嵌祆鲜仟咸縴仙骞虔谦牵搴贤钱前遣显嫌愆铅千箝迁签谴咸钳癣娴险阡姗闲闲絃弦蚬潜浅掀先藓
任	瓤让攘仍禳	扔瓤嚷让攘仍禳壤
仰	瘾听饮縯尹隐蚓引	夤胤银鄞印饮因龈茵淫檐音寅垠湮姻阴吟慇氤荫殷隐霪
仳		
份	行放沆缝讽恨奉凤俸横	疯吭峰航妨恒倣丰讽舫逢仿很丰冯纺行枫锋杭桁访烽坊芳风亨房横哼痕肪狠方缝蜂防枋仿封衡
企	洎暨寄忌祭蓟骑芰际剂继荠记季稷髻霁技纪觊既悸计跻系济妓鲫骥冀	棘玑羁疾肌集脊己借鸡矶乩积几绩期屐机楫瘠嵇迹蹟基级极居戢畸姬畿其击辑寂给犄饥及嫉疠几唧箕麂挤急伋奇吉讥激圾即汲勣稽吃亟跻籍岌叽济戟饥
伋	歧其淇旗琪齐蓆琦耆麒棋骑惜习祺脐畦鳍祁崎圻奇岐祇衹期媳祈枝息锡席熄锜袭褶檄昔	携烯嬉膝妻玺洗溪岂绮细碛弃析乞系启器栖讫漆慼迄蟋羲起夕蹊歙气曦淅熹悉愒禧系犀萋汐翕行蜥凄戏稀隙希吸欺徙畦晰兮鳃杞熙汽柒厘矽企喜譆谿稽牺亟唏嘻悽晞潟泣西契系憩奚戚砌七缉僖
光	劻匡髡筐框琨焜坤锟昆昆	圹矿辊鲧旷诳滚狂眶梱衮况捆困框綑棍困
凶	燻钧龟军勋君薰均醺勳	汛浔巡炯窘隽徇郡峻濬迥潠浚驯询璿骏巽蕈殉循俊迅训逊讯寻荀洵旬竣菌
兆	皂胄噪骤绉造奏冑纣揍宙昼譟灶咒籀皱躁燥	鄹澡遭轴帚周妯藻邹蚤糟枣陬粥舟走肘凿早啁周州洲
先	笺监间尖肩缣湔兼奸坚鞯渐菅歼奸缄艰溅煎	件槛剑健僭见舰毽渐谏囝检柬简溅减笕践监箭间闲荐腱键剪建硷睑茧饯鉴鉴涧贱捡拣俭荐
全		倦卷隽捐捲镌眷娟圈绢身涓鹃狷
共	辊鲧倥琨焜崆滚锟昆梱衮空硿困捆孔髡恐綑棍困坤控昆	辊鲧倥琨焜崆滚锟昆梱空衮硿孔捆困髡恐綑棍困坤控昆
再	寨责债祭	摘斋齐翟窄宅
冰	缤彬濒豳傧滨槟宾	殡傧膑鬓
列	涅镊蘗嗫啮镍孽聂臬蹑	捏
刑	寻	竟颈泾信靖心粳烬馨芯精静筋缙谨进訢巾茎新竞噤津尽莘觐斤经璟锦近径昕今境欣惊景锌睛矜劲警襟更径筋兢瑾晶旌京井尽馑金晋鲸痉紧净仅禁荆镜菁薪憬浸辛敬衅阱
划		
刎	拥往踊泳永魍蓊涌勇允惘蛹甬臃网俑陨枉罔辋咏涌壅恿	拥员佣雍翁佣耘嗡亡孕王臃熨用尢愠芸忘云韵鄘望慵运筠旺甕昀妄晕庸酝蕴氲纭汪匀邕云壅
刖		
劣	涅镊蘗嗫啮镍孽聂臬蹑	捏
匈	燻钧龟军勋君薰均醺勳	汛浔巡炯窘隽徇郡峻濬迥潠浚驯询璿骏巽蕈殉循俊迅训逊讯寻荀洵旬竣菌
匡	髡琨胱洸焜坤光锟昆昆	辊犷鲧滚梱衮捆困逛綑广棍困
匠	信烬芯劲缙橡巷沁进尽晋像噤向仅禁尽觐乡浸呛衅象揿近项相向	枪墙枪彊心祥馨芯秦降羌筋镶谨噙厢琴訢巾芹饷响新亲津尽莘觐乡斤呛香锦想抢昕今欣锌详矜襄锵腔蔷襟擒翔筋禽侵瑾繈享樯钦馑金湘勤紧仅禁寝庠薪嵚浸瓖辛戕寻飨箱将相强
印	应养样漾映怏恙硬炀	缨佯仰疡洋樱飏杨羊央秧应萦鹰颖蝇炀烊养迎扬营膺婴嬴昜楹旸氧影阳莹钖罂景郢莺鸯徉赢鹦盈英鞅萤泱殃荧痒瑛嘤璎茔瀛
危		
吉	歧其淇旗琪齐蓆琦耆麒棋骑惜习祺脐畦鳍祁崎圻奇岐祇衹期媳祈枝息锡席熄锜袭褶檄昔	携烯嬉膝妻玺洗溪岂绮细碛弃析乞系启器栖讫漆慼迄蟋羲起夕蹊歙气曦淅熹悉愒禧系犀萋汐翕行蜥凄戏稀隙希吸欺徙畦晰兮鳃杞熙汽柒厘矽企喜譆谿稽牺亟唏嘻悽晞潟泣西契系憩奚戚砌七缉僖
吏	昵泥睨腻溺匿逆	妮尼泥霓呢你拟倪怩你旎
同	囤屯臀饨豚	钝蹲栋惇东冬鼕洞墩动沌懂囤褪董恫顿遁炖胴吞趸吨冻盾盹敦咚
吊	頫眺覜跳	挑条佻丢调迢蜩窕
吐	杜蠹赌堵度镀睹渡笃肚妒	髑杜渎蠹堵椟睹读笃犊黩赌度镀嘟渡肚都督妒牍毒独
吁	车驹俱狙拘疽锯沮居蛆	苣炬飓具桔巨钜倨剧遽屦距俱侷掬聚据龃咀莒举惧踞瞿橘跼局句菊锯沮足鞠拒矩
吋	冲怆创闯	冲冲虫虫窗春匆撞淙床从鹑崇疮闯囪舂淳创醇葱充枞蠢宠纯唇憧重脣抢幢丛聪
各	髁嗑可课喀缂克刻溘恪客克	轲坷稞棵渴磕可咳壳窠柯科刻颗苛蚵瞌蝌
向	信彊尽烬晋芯噤降禁劲仅尽匠觐缙浸衅进绛将近酱强	欣江锌心馨芯矜姜筋襟筋谨浆瑾缰奖訢僵巾馑金新紧津仅禁尽莘疆觐薪蒋斤浸讲辛寻姜桨将锦昕今
名	岷玟民	闽渑悯敏抿愍泯皿闵湣
合		
吃	歧疵雌其淇旗琪齐蓆琦差耆麒棋骑惜习祺脐畦鳍祁崎圻奇岐祇衹期媳祈枝息锡席熄锜袭褶檄昔	赐此疵祠烯嬉茨玺洗细析乞漆迄夕歙气辞曦次悉熹犀汐萋蜥稀伺希瓷欺汽熙柒矽喜企稽牺悽潟契憩系奚七砌僖携雌膝厕妻慈溪岂绮弃碛启系器栖讫慼蟋羲起刺蹊磁淅愒禧系行翕凄戏隙吸徙晰畦兮杞鳃厘词谿譆亟唏晞嘻西泣戚缉
后	皓昊浩镐颢鄗好号涸耗	芣毫濠否壕蚝嚎貉嗥蒿郝蚵缶豪鹤好号
吆	幽攸悠优忧	游黝由牖邮友疣莠又尤幼犹猷游鼬诱宥油右柚祐铀有侑酉囿佑鱿釉
咤		扎杂咱偺砸匝
因	缨泱罂莺樱鸯殃膺央秧鹦婴应瑛英鹰嘤璎鞅	钖莹佯景郢仰疡洋映飏怏羊杨徉赢盈应萦样漾颖恙鞅蝇硬萤炀烊养迎营扬痒荧嬴昜茔旸楹氧瀛影阳
回		
囝	显蚬癣险铣浅鲜遣谴藓	签斓干纤岘馅拦涎黔倩缆限蓝苋舷暹衔啣千钤秈现祆嵌鲜羡咸仟縴懒献歉仙揽阑骞虔陷谦搴牵县岚贤览钱欠僩前堑兰滥嫌愆铅箝千迁烂籣澜签钳咸霰娴栏阡腺姗褴闲絃闲宪弦蚬潜榄篮掀线先婪
圳	仲众粽纵状壮湩中撞综重从种	傯踵盅装鬃棕屯踪中宗塚忠准总钟衷肫纵塚终忪妆桩谆肿钟综奘准庄种
地	涕悌屉剃替锑逖嚏惕	剔题梯堤蹄踢啼体隄缇提
在	寨责债祭	摘斋齐翟窄宅
圭	窥盔亏	匮睽喟魁傀奎愧夔葵餽揆篑逵溃
圬	淤迂瘀纡	瘉滪妤域娱宇驭狱逾昱峪燠褕蝓竽雨雩渝觎预渔语于与煜龉噢欲芋育余余俞欤堉郁豫羽虞毓裕盂御隅吁妪榆敔喻愚鱼玉欲圉誉禺熨禹屿舆愈寓愈愉谕圄御谷郁腴遇臾谀庾圩聿尉瑜予萸于浴
圯		
圩	吾亡诬无毋鼯梧唔巫吴芜蜈	武污鹉晤骛巫侮悟坞误诬务午五乌伍寤戊恶呜妩于物勿怃雾屋舞兀圬钨捂軏污垩
夙	束数庶树倏术戍恕述墅漱竖疏署曙	叔橾塾菽淑赎黍属书输熟殊数鼠藷枢梳暑孰蜀薯抒疏署蔬舒
多	驮跎陀脱沱鸵佗拖驼托托	陀跎唾沱妥柝托驮脱椭鸵拖佗驼拓托
夷		
夸	刮括蜗呱刮聒瓜	挂挂卦褂寡
妄	韵员运紊晕酝抆蕴汶文孕闻问熨愠免	云雯玟纹筠蚊昀晕氲刎纭耘允文闻匀瘟吻陨云温稳塭芸
奸	秈签纤阡姗祆嵌鲜仟縴仙愆铅骞千谦暹迁搴掀牵先千签	干岘馅涎黔倩限苋铣舷衔啣钤现羡鲜咸縴歉献陷虔县贤钱欠僩前堑遣显嫌箝谴钳咸癣娴险霰腺闲闲絃宪弦蚬潜浅线藓
妃	嘿黑	黑
好	厚吼后堠否鲎逅缶候后	篌厚后芣猴否鲎逅侯后吼堠缶候喉
她	瘩答搭褡跶	瘩答大打达鞑靼怛
如		
妁		梭锁娑嗦所缩莎唆琐蓑索簑
字	雉秩帜蛭稚窒志痣智致滞致置痔至挚峙制轾踬治识知制质炙志	姪止植织梔咫泜氏芷脂胝值汁址吱肢执摭祇祉踯枝蜘直支掷知征只质纸趾只之指祗职芝旨卮殖
存	鹑崇虫虫淳醇唇纯撞淙床重脣从幢丛	冲冲怆疮闯囪窗春舂创葱匆充枞蠢宠憧抢从聪
宇	武怃舞鹉五捂伍妩侮午	污晤骛巫吾坞悟亡误诬务无吴乌毋寤戊恶呜鼯于唔物勿雾屋兀圬钨軏污梧芜蜈垩
守	叟薮扫擞少嫂嗾	芍骚哨烧嗽少杓飕韶召艘搜勺邵馊绍蒐缫捎扫搔稍梢
宅	仄侧	仔则择泽栽怎哉笮载咋在再贼责宰灾啧窄
安		
寺	拭恃式轼适是饰柿奭氏士使视螫弑市示试豉仕噬誓筮室势侍世嗜识逝事释舐	豕尸匙湿狮虱使拾诗硕失十虱嘘始埘石蚀实食施时提史师湿尸矢什屎射驶
尖	秈签纤阡姗祆嵌鲜仟縴仙愆铅骞千谦暹迁搴掀牵先千签	干岘馅涎黔倩限苋铣舷衔啣钤现羡鲜咸縴歉献陷虔县贤钱欠僩前堑遣显嫌箝谴钳咸癣娴险霰腺闲闲絃宪弦蚬潜浅线藓
屹		
州	钊鄹遭朝昭邹糟晁陬召着招嘲啁	皂澡肇骤炤蚤造枣着赵照灶凿找燥棹噪罩藻沼爪奏诏晁召揍譟走兆早躁櫂
帆	涵函含韩蚶和榦鼾汗寒酣	悍函含汉韩汗颔蚶罕寒酣憾旱颌和榦涵銲翰撼捍鼾喊瀚焊
并	殡傧膑鬓	缤彬濒豳傧滨槟宾
年	帘联莲帘鲢濂奁连涟怜镰廉	炼恋殓潋敛练炼链楝脸
式	赐祀泗肆兕食饲巳伺嗣似耜寺驷姒俟四	撕司厮丝斯鸶私思嘶死
弛	辞疵祠雌茨瓷词慈磁	赐疵此伺次雌厕刺差
忙	们门扪	焖们懑闷
忖	蠢宠闯抢	冲冲虫虫窗春匆撞淙床从鹑怆崇疮闯囪舂淳创醇葱充枞纯唇憧重脣幢丛聪
戎		闰润
戌	车驹俱狙拘疽锯沮居蛆	苣炬飓具桔巨钜倨剧遽屦距俱侷掬聚据龃咀莒举惧踞瞿橘跼局句菊锯沮足鞠拒矩
戍	塑肃粟诉素蓿簌宿速缩嗉溯夙	俗苏苏酥甦稣
成	谌岑晨尘涔宸陈娠忱臣曾辰沉层沈	谶榇称衬疢琛趁瞋参
扣	购雊构告够媾搆铐靠垢诰遘诟犒	缟糕槁皋高枸考烤杲稿钩沟勾搞搅篙睪羔狗句拷膏苟
扛	糠跟慷康根	垦艮亢跟纲冈港釭肛杠杠恳刚伉慷龈亘肯根缸啃岗炕抗钢
托	多朵	咄剁踱夺躲朵驮堕度跺惰铎舵多
收	艘搜馊蒐骚缫捎烧搔稍飕梢	叟芍哨嗽少杓韶嗾召勺邵薮绍扫擞嫂
早	帚走沼肘找爪	鄹胄轴妯周昭肇骤炤绉粥着宙赵照周钊棹朝罩邹奏诏冑纣晁陬召揍舟昼招兆咒嘲啁籀皱櫂洲州
旨	仔訾紫滓籽子梓	恣淄渍锱缁赀咨兹字子姿孳资孜辎滋谘龇玆髭自吱
旬	熊雄	隽窘炯郡峻濬迥俊凶钧龟浚凶军兄君均汹骏匈蕈胸菌竣
旭	炬苣飓惧具巨踞瞿钜倨剧遽屦距俱聚据句锯足拒	莒咀举桔疽橘蛆跼车驹俱拘狙侷掬菊局锯沮鞠居龃矩
曲	咀莒举疽蛆车俱驹拘狙沮锯居龃矩	苣炬飓具桔巨疽钜倨剧遽屦距俱狙侷掬聚据龃咀莒举惧踞瞿蛆橘跼车驹拘局句菊锯沮足居鞠拒矩
曳		
有	要夭耀咬杳舀鹞乐窈钥药拗曜	要哟淆耀夭崤咬杳谣瑶侥窈钥尧摇洮邀吆舀鹞榣腰乐肴姚幺遥肴窑药拗妖曜爻
朽	姣皎纠玖侥角灸九较勦饺酒狡脚晓筿缴小铰搅韭赳绞久剿矫	嚣啾哮消娇厩揪箫肖鸠醮蕉究逍旧浇舅跤轿鲛疚硝销胶傚蛟萧觉宵教枭救酵姣骄窖纠削就效笑焦詨霄骁交椒嘐孝柩礁啸较臼咎郊校叫潇学嚼
朴		
朱	租	诅卒祖俎足组阻族嗾
朵	脱椭拖妥托托	陀跎唾沱妥柝托驮脱椭鸵拖佗驼拓托
次	赤炽翅斥啻饬敕叱	褫尺耻蚩痴呎踟侈匙痴吃栘齿弛持驰嗤池魑迟墀笞喫
此	齿褫尺耻呎侈	翅炽啻蚩痴匙敕栘弛驰嗤饬魑迟笞喫赤踟叱痴吃持斥池墀
死	豕始使矢屎驶史	拭恃轼是匙湿狮氏拾虱使视失虱豉嘘仕噬蚀誓筮施室提嗜尸什逝舐式适尸柿饰奭士诗硕螫十弑市示试埘石食实时势侍世师湿识射事释
氖		徕睐癞籁来赖莱濑
汝		
汗	氾犯范梵泛礬贩藩汎蕃墦樊饭凡烦范钒繁帆	繙范泛礬番反汎蕃墦饭凡烦钒繁帆氾犯梵贩藩樊翻范幡返
污	淤迂瘀纡	瘉滪妤域娱宇驭狱逾昱峪燠褕蝓竽雨雩渝觎预渔语于与煜龉噢欲芋育余余俞欤堉郁豫羽虞毓裕盂御隅吁妪榆敔喻愚鱼玉欲圉誉禺熨禹屿舆愈寓愈愉谕圄御谷郁腴遇臾谀庾圩聿尉瑜予萸于浴
江	枪欣枪锌心馨芯矜襄锵腔羌筋襟筋镶侵厢訢钦巾新金湘亲津禁莘乡薪嵚斤浸呛瓖辛箱香将抢相昕今	墙信彊祥烬芯秦降缙谨噙橡沁巷进琴芹饷响噤尽觐乡呛象揿近想抢锦项详劲蔷擒翔禽瑾繈享樯尽馑晋像勤紧向仅禁寝庠浸寻戕衅飨向相强
池	辞疵祠雌茨瓷词慈磁	赐疵此伺次雌厕刺差
汐	洎暨寄忌祭蓟骑芰际剂继荠记季稷髻霁技纪觊既悸计跻系济妓鲫骥冀	棘玑羁疾肌集脊己借鸡矶乩积几绩期屐机楫瘠嵇迹蹟基级极居戢畸姬畿其击辑寂给犄饥及嫉疠几唧箕麂挤急伋奇吉讥激圾即汲勣稽吃亟跻籍岌叽济戟饥
汕	散	三伞散参糁
污	淤迂瘀纡	瘉滪妤域娱宇驭狱逾昱峪燠褕蝓竽雨雩渝觎预渔语于与煜龉噢欲芋育余余俞欤堉郁豫羽虞毓裕盂御隅吁妪榆敔喻愚鱼玉欲圉誉禺熨禹屿舆愈寓愈愉谕圄御谷郁腴遇臾谀庾圩聿尉瑜予萸于浴
